existing_credits,num_dependents,checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker
2,1,<0,critical/other existing credit,radio/tv,no known savings,>=7,male single,none,real estate,none,own,skilled,yes,yes
1,1,0<=X<200,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,skilled,none,yes
1,2,no checking,critical/other existing credit,education,<100,4<=X<7,male single,none,real estate,none,own,unskilled resident,none,yes
1,2,<0,existing paid,furniture/equipment,<100,4<=X<7,male single,guarantor,life insurance,none,for free,skilled,none,yes
2,2,<0,delayed previously,new car,<100,1<=X<4,male single,none,no known property,none,for free,skilled,none,yes
1,2,no checking,existing paid,education,no known savings,1<=X<4,male single,none,no known property,none,for free,unskilled resident,yes,yes
1,1,no checking,existing paid,furniture/equipment,500<=X<1000,>=7,male single,none,life insurance,none,own,skilled,none,yes
1,1,0<=X<200,existing paid,used car,<100,1<=X<4,male single,none,car,none,rent,high qualif/self emp/mgmt,yes,yes
1,1,no checking,existing paid,radio/tv,>=1000,4<=X<7,male div/sep,none,real estate,none,own,unskilled resident,none,yes
2,1,0<=X<200,critical/other existing credit,new car,<100,unemployed,male mar/wid,none,car,none,own,high qualif/self emp/mgmt,none,yes
1,1,0<=X<200,existing paid,new car,<100,<1,female div/dep/mar,none,car,none,rent,skilled,none,yes
1,1,<0,existing paid,business,<100,<1,female div/dep/mar,none,life insurance,none,rent,skilled,none,yes
1,1,0<=X<200,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,car,none,own,skilled,yes,yes
2,1,<0,critical/other existing credit,new car,<100,>=7,male single,none,car,none,own,unskilled resident,none,yes
1,1,<0,existing paid,new car,<100,1<=X<4,female div/dep/mar,none,car,none,rent,skilled,none,yes
1,1,<0,existing paid,radio/tv,100<=X<500,1<=X<4,female div/dep/mar,none,car,none,own,unskilled resident,none,yes
2,1,no checking,critical/other existing credit,radio/tv,no known savings,>=7,male single,none,life insurance,none,own,skilled,none,yes
3,1,<0,no credits/all paid,business,no known savings,<1,male single,none,car,bank,own,skilled,none,yes
1,1,0<=X<200,existing paid,used car,<100,>=7,female div/dep/mar,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes
1,2,no checking,existing paid,radio/tv,500<=X<1000,>=7,male single,none,car,none,own,skilled,yes,yes
3,1,no checking,critical/other existing credit,new car,<100,1<=X<4,male single,none,car,none,own,skilled,yes,yes
1,2,<0,existing paid,radio/tv,500<=X<1000,1<=X<4,male single,none,real estate,none,rent,skilled,none,yes
2,2,<0,critical/other existing credit,new car,<100,<1,male single,none,real estate,none,rent,unskilled resident,none,no
1,1,0<=X<200,critical/other existing credit,used car,100<=X<500,<1,male single,none,life insurance,none,own,skilled,none,yes
2,1,no checking,critical/other existing credit,furniture/equipment,no known savings,1<=X<4,male mar/wid,none,car,none,own,skilled,none,no
1,1,<0,existing paid,furniture/equipment,<100,1<=X<4,male single,none,real estate,bank,own,unskilled resident,yes,yes
1,1,no checking,no credits/all paid,radio/tv,<100,>=7,male mar/wid,none,car,none,own,unskilled resident,none,yes
2,1,>=200,all paid,radio/tv,>=1000,1<=X<4,female div/dep/mar,none,real estate,none,rent,skilled,none,yes
1,1,0<=X<200,existing paid,radio/tv,<100,1<=X<4,male single,guarantor,real estate,none,own,skilled,none,yes
2,1,<0,delayed previously,business,<100,>=7,male single,none,no known property,none,own,skilled,yes,yes
1,1,0<=X<200,existing paid,business,>=1000,<1,male mar/wid,none,real estate,bank,own,skilled,yes,yes
1,1,<0,existing paid,furniture/equipment,<100,1<=X<4,male single,none,car,stores,own,skilled,none,yes
2,1,0<=X<200,existing paid,new car,100<=X<500,1<=X<4,male single,none,car,none,own,skilled,yes,yes
1,1,no checking,critical/other existing credit,business,no known savings,>=7,male single,none,no known property,none,rent,unskilled resident,none,yes
1,1,>=200,existing paid,furniture/equipment,<100,<1,female div/dep/mar,none,life insurance,bank,own,high qualif/self emp/mgmt,yes,yes
2,1,0<=X<200,critical/other existing credit,radio/tv,<100,<1,male single,none,life insurance,none,own,unskilled resident,none,yes
1,1,no checking,critical/other existing credit,education,<100,1<=X<4,male single,none,no known property,bank,for free,skilled,yes,yes
1,1,>=200,existing paid,radio/tv,<100,1<=X<4,male single,co applicant,real estate,stores,own,skilled,none,yes
1,1,>=200,existing paid,domestic appliance,<100,1<=X<4,male single,none,car,none,own,skilled,yes,yes
1,1,0<=X<200,existing paid,radio/tv,<100,1<=X<4,male single,none,real estate,none,own,skilled,none,yes
1,1,no checking,existing paid,radio/tv,500<=X<1000,>=7,male single,none,car,bank,own,high qualif/self emp/mgmt,none,yes
1,1,0<=X<200,existing paid,radio/tv,500<=X<1000,1<=X<4,male div/sep,none,car,none,own,skilled,yes,yes
1,2,0<=X<200,delayed previously,repairs,<100,1<=X<4,male single,none,real estate,none,own,unskilled resident,yes,yes
2,1,<0,critical/other existing credit,used car,100<=X<500,4<=X<7,male mar/wid,none,car,none,rent,skilled,none,yes
2,1,<0,critical/other existing credit,used car,<100,>=7,female div/dep/mar,none,no known property,stores,for free,unskilled resident,none,yes
2,1,no checking,critical/other existing credit,new car,<100,<1,female div/dep/mar,none,car,none,own,high qualif/self emp/mgmt,none,yes
1,1,no checking,existing paid,radio/tv,500<=X<1000,>=7,male single,none,car,none,own,skilled,none,yes
1,1,<0,existing paid,used car,500<=X<1000,unemployed,female div/dep/mar,none,life insurance,none,rent,unemp/unskilled non res,yes,yes
2,1,no checking,critical/other existing credit,new car,<100,1<=X<4,male single,none,life insurance,none,own,unskilled resident,none,yes
1,1,no checking,existing paid,radio/tv,100<=X<500,1<=X<4,female div/dep/mar,co applicant,real estate,none,own,skilled,none,yes
1,1,0<=X<200,delayed previously,furniture/equipment,no known savings,<1,male single,none,life insurance,bank,own,unskilled resident,none,yes
2,1,0<=X<200,delayed previously,used car,<100,>=7,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes
1,1,no checking,existing paid,radio/tv,<100,1<=X<4,male single,none,car,none,own,skilled,none,yes
1,1,no checking,existing paid,used car,no known savings,1<=X<4,male single,none,life insurance,none,own,skilled,yes,yes
2,1,0<=X<200,delayed previously,new car,<100,>=7,male single,none,no known property,bank,for free,skilled,yes,yes
1,2,no checking,all paid,new car,no known savings,1<=X<4,male single,guarantor,real estate,stores,own,unskilled resident,none,yes
1,1,0<=X<200,existing paid,radio/tv,no known savings,unemployed,male single,none,no known property,none,own,high qualif/self emp/mgmt,yes,yes
2,1,no checking,critical/other existing credit,radio/tv,<100,1<=X<4,female div/dep/mar,none,car,stores,own,skilled,none,yes
1,1,>=200,existing paid,new car,<100,>=7,female div/dep/mar,none,car,none,own,high qualif/self emp/mgmt,none,yes
2,1,<0,critical/other existing credit,furniture/equipment,<100,<1,female div/dep/mar,co applicant,no known property,none,rent,unskilled resident,yes,yes
1,1,0<=X<200,existing paid,business,<100,1<=X<4,male mar/wid,none,real estate,bank,own,skilled,yes,yes
2,1,0<=X<200,critical/other existing credit,radio/tv,no known savings,>=7,male single,guarantor,real estate,none,own,skilled,yes,yes
1,1,0<=X<200,no credits/all paid,business,<100,>=7,male single,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes
1,1,0<=X<200,no credits/all paid,business,<100,1<=X<4,male single,none,car,none,own,skilled,yes,yes
1,1,no checking,existing paid,radio/tv,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,yes,yes
4,2,no checking,existing paid,repairs,no known savings,>=7,male single,none,life insurance,none,own,skilled,yes,yes
1,1,no checking,existing paid,radio/tv,<100,<1,female div/dep/mar,none,car,bank,own,skilled,none,yes
1,1,0<=X<200,existing paid,new car,>=1000,1<=X<4,male mar/wid,none,real estate,none,own,skilled,none,yes
1,1,no checking,existing paid,education,<100,1<=X<4,male single,none,no known property,stores,for free,skilled,yes,yes
1,1,no checking,existing paid,radio/tv,no known savings,1<=X<4,female div/dep/mar,none,car,none,own,skilled,none,yes
1,1,no checking,existing paid,used car,<100,1<=X<4,female div/dep/mar,none,life insurance,bank,own,skilled,none,yes
2,1,no checking,critical/other existing credit,radio/tv,no known savings,>=7,male single,none,life insurance,none,rent,unskilled resident,yes,yes
2,2,<0,critical/other existing credit,other,<100,>=7,male single,none,no known property,bank,for free,high qualif/self emp/mgmt,yes,yes
2,1,0<=X<200,critical/other existing credit,business,<100,4<=X<7,female div/dep/mar,none,real estate,bank,own,unskilled resident,none,yes
1,1,<0,existing paid,education,no known savings,>=7,male single,none,no known property,none,own,high qualif/self emp/mgmt,yes,yes
2,1,<0,critical/other existing credit,used car,<100,>=7,male single,none,no known property,none,for free,high qualif/self emp/mgmt,none,yes
1,1,<0,existing paid,radio/tv,<100,<1,male single,none,car,none,own,skilled,none,yes
1,1,0<=X<200,delayed previously,radio/tv,<100,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes
1,2,no checking,no credits/all paid,used car,no known savings,1<=X<4,male single,none,life insurance,none,own,unskilled resident,none,yes
1,1,0<=X<200,existing paid,furniture/equipment,<100,<1,male mar/wid,none,life insurance,none,own,skilled,none,yes
2,1,no checking,existing paid,radio/tv,no known savings,<1,female div/dep/mar,none,car,none,own,skilled,yes,yes
1,1,no checking,existing paid,radio/tv,500<=X<1000,>=7,male single,none,life insurance,stores,own,skilled,yes,yes
1,1,no checking,existing paid,business,100<=X<500,1<=X<4,female div/dep/mar,none,life insurance,none,rent,unskilled resident,none,yes
1,1,<0,existing paid,other,<100,>=7,female div/dep/mar,guarantor,real estate,none,own,unskilled resident,yes,yes
1,1,<0,existing paid,radio/tv,<100,>=7,male single,none,real estate,none,own,unskilled resident,none,yes
2,1,no checking,critical/other existing credit,business,<100,1<=X<4,female div/dep/mar,guarantor,real estate,none,own,high qualif/self emp/mgmt,yes,yes
2,1,0<=X<200,critical/other existing credit,furniture/equipment,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,none,yes
1,2,0<=X<200,existing paid,education,100<=X<500,1<=X<4,male single,none,no known property,none,for free,skilled,yes,yes
1,2,<0,existing paid,new car,100<=X<500,4<=X<7,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes
2,1,<0,no credits/all paid,repairs,<100,4<=X<7,male single,none,real estate,none,own,skilled,none,yes
1,1,no checking,critical/other existing credit,radio/tv,<100,>=7,male single,none,real estate,none,own,skilled,none,yes
1,1,<0,critical/other existing credit,used car,<100,>=7,male single,none,real estate,none,own,skilled,none,yes
1,2,no checking,critical/other existing credit,radio/tv,no known savings,>=7,female div/dep/mar,none,life insurance,bank,own,unskilled resident,none,yes
2,1,>=200,critical/other existing credit,furniture/equipment,no known savings,>=7,male single,co applicant,no known property,none,rent,skilled,none,yes
1,1,0<=X<200,existing paid,new car,>=1000,>=7,male single,none,real estate,none,own,skilled,yes,yes
1,1,0<=X<200,no credits/all paid,business,<100,<1,male single,none,no known property,none,rent,skilled,yes,yes
1,1,no checking,critical/other existing credit,education,no known savings,4<=X<7,female div/dep/mar,none,car,none,own,skilled,none,yes
1,1,0<=X<200,existing paid,business,100<=X<500,1<=X<4,male single,none,car,none,own,skilled,none,yes
1,1,0<=X<200,critical/other existing credit,radio/tv,<100,>=7,male single,none,real estate,none,own,skilled,none,yes
2,2,0<=X<200,delayed previously,used car,no known savings,4<=X<7,male single,none,life insurance,bank,rent,high qualif/self emp/mgmt,yes,yes
1,1,no checking,existing paid,new car,100<=X<500,>=7,male mar/wid,none,real estate,none,rent,unskilled resident,none,yes
1,1,0<=X<200,existing paid,radio/tv,<100,4<=X<7,male single,none,car,none,rent,skilled,none,yes
1,1,no checking,delayed previously,radio/tv,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,skilled,none,yes
1,1,0<=X<200,critical/other existing credit,furniture/equipment,<100,4<=X<7,male single,none,car,none,rent,skilled,yes,yes
1,1,no checking,existing paid,used car,no known savings,<1,male mar/wid,none,car,none,rent,skilled,yes,yes
2,2,0<=X<200,critical/other existing credit,other,<100,1<=X<4,male single,co applicant,car,none,own,high qualif/self emp/mgmt,yes,yes
2,2,no checking,all paid,new car,<100,>=7,male single,none,no known property,bank,own,high qualif/self emp/mgmt,yes,yes
1,1,0<=X<200,existing paid,new car,<100,4<=X<7,male single,none,car,none,own,skilled,none,yes
1,1,<0,existing paid,furniture/equipment,no known savings,<1,female div/dep/mar,none,life insurance,none,own,skilled,yes,no
1,1,0<=X<200,existing paid,business,500<=X<1000,>=7,male mar/wid,none,real estate,none,own,skilled,yes,yes
2,2,0<=X<200,delayed previously,business,100<=X<500,>=7,male div/sep,none,car,bank,own,skilled,none,yes
1,1,>=200,existing paid,education,<100,<1,female div/dep/mar,none,life insurance,none,rent,skilled,yes,yes
1,1,0<=X<200,existing paid,new car,<100,4<=X<7,male single,none,real estate,none,rent,unskilled resident,none,yes
2,1,no checking,critical/other existing credit,new car,<100,1<=X<4,female div/dep/mar,none,real estate,stores,own,skilled,yes,yes
1,1,<0,existing paid,radio/tv,500<=X<1000,>=7,male mar/wid,none,real estate,none,own,skilled,none,yes
1,1,no checking,critical/other existing credit,radio/tv,no known savings,>=7,male single,none,real estate,none,own,skilled,yes,yes
1,1,<0,existing paid,radio/tv,no known savings,4<=X<7,female div/dep/mar,none,car,none,own,high qualif/self emp/mgmt,yes,yes
2,1,<0,critical/other existing credit,furniture/equipment,no known savings,<1,female div/dep/mar,co applicant,real estate,none,rent,skilled,none,no
2,1,<0,critical/other existing credit,furniture/equipment,500<=X<1000,1<=X<4,female div/dep/mar,none,car,none,own,skilled,none,yes
1,1,0<=X<200,critical/other existing credit,new car,500<=X<1000,4<=X<7,male div/sep,none,car,none,own,high qualif/self emp/mgmt,yes,yes
2,1,<0,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,skilled,yes,yes
2,1,no checking,critical/other existing credit,used car,<100,>=7,female div/dep/mar,none,car,none,rent,high qualif/self emp/mgmt,yes,yes
1,1,no checking,existing paid,furniture/equipment,<100,1<=X<4,male single,none,real estate,none,rent,unskilled resident,none,yes
2,1,>=200,critical/other existing credit,new car,<100,>=7,male single,none,no known property,none,for free,skilled,yes,yes
1,1,0<=X<200,existing paid,furniture/equipment,no known savings,<1,female div/dep/mar,none,real estate,none,rent,skilled,none,yes
2,1,<0,critical/other existing credit,new car,<100,1<=X<4,male single,none,life insurance,none,own,skilled,none,yes
1,1,<0,existing paid,radio/tv,<100,1<=X<4,male mar/wid,none,real estate,none,own,unskilled resident,none,yes
1,1,0<=X<200,existing paid,repairs,<100,1<=X<4,male single,none,car,none,own,skilled,none,yes
2,1,0<=X<200,critical/other existing credit,used car,<100,unemployed,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes
2,1,<0,critical/other existing credit,new car,<100,1<=X<4,female div/dep/mar,co applicant,real estate,none,own,skilled,none,yes
1,1,0<=X<200,existing paid,new car,no known savings,4<=X<7,female div/dep/mar,none,car,none,own,skilled,none,yes
1,1,<0,delayed previously,education,<100,1<=X<4,male single,none,life insurance,stores,own,skilled,yes,yes
2,1,no checking,existing paid,furniture/equipment,<100,<1,male single,none,life insurance,bank,own,unskilled resident,none,yes
2,1,no checking,existing paid,furniture/equipment,<100,1<=X<4,male single,none,no known property,bank,for free,skilled,none,yes
1,1,no checking,existing paid,radio/tv,100<=X<500,4<=X<7,female div/dep/mar,none,real estate,none,own,skilled,yes,yes
2,1,no checking,critical/other existing credit,radio/tv,no known savings,>=7,female div/dep/mar,none,real estate,none,own,skilled,yes,yes
2,1,no checking,delayed previously,used car,>=1000,1<=X<4,male single,none,car,none,own,skilled,none,yes
1,1,0<=X<200,existing paid,radio/tv,500<=X<1000,1<=X<4,male single,none,real estate,none,own,unskilled resident,none,yes
3,1,0<=X<200,critical/other existing credit,radio/tv,no known savings,4<=X<7,male single,guarantor,real estate,bank,own,skilled,yes,yes
1,1,>=200,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,car,none,rent,unskilled resident,yes,yes
1,1,>=200,existing paid,new car,>=1000,<1,male mar/wid,none,real estate,none,own,unemp/unskilled non res,none,no
1,1,0<=X<200,existing paid,radio/tv,<100,<1,female div/dep/mar,none,no known property,none,own,high qualif/self emp/mgmt,yes,yes
1,1,<0,existing paid,radio/tv,<100,1<=X<4,male single,none,car,none,own,high qualif/self emp/mgmt,none,yes
1,1,<0,existing paid,furniture/equipment,<100,1<=X<4,male single,none,car,none,own,skilled,none,yes
1,1,no checking,critical/other existing credit,furniture/equipment,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,yes,yes
1,1,0<=X<200,all paid,business,100<=X<500,4<=X<7,male single,none,car,none,own,skilled,none,yes
2,1,<0,critical/other existing credit,new car,<100,>=7,female div/dep/mar,none,no known property,none,own,skilled,yes,yes
2,1,no checking,critical/other existing credit,new car,100<=X<500,4<=X<7,female div/dep/mar,none,car,none,own,skilled,yes,yes
2,1,<0,critical/other existing credit,furniture/equipment,<100,1<=X<4,male single,guarantor,life insurance,none,own,skilled,none,yes
2,1,no checking,critical/other existing credit,radio/tv,>=1000,>=7,male single,none,car,none,own,skilled,none,yes
1,2,no checking,existing paid,radio/tv,100<=X<500,>=7,male single,none,no known property,bank,for free,skilled,yes,yes
1,1,no checking,existing paid,radio/tv,<100,1<=X<4,male single,none,life insurance,none,own,skilled,yes,no
1,1,>=200,existing paid,radio/tv,<100,1<=X<4,male single,none,car,none,own,skilled,none,yes
1,1,0<=X<200,critical/other existing credit,used car,>=1000,>=7,female div/dep/mar,none,no known property,none,rent,skilled,none,yes
1,1,0<=X<200,delayed previously,business,100<=X<500,4<=X<7,male single,none,car,none,rent,high qualif/self emp/mgmt,yes,yes
1,1,<0,existing paid,furniture/equipment,<100,1<=X<4,female div/dep/mar,none,car,none,rent,skilled,none,yes
2,2,<0,critical/other existing credit,repairs,100<=X<500,>=7,male single,guarantor,real estate,none,own,skilled,none,no
1,1,<0,all paid,retraining,<100,>=7,male mar/wid,none,car,bank,own,unskilled resident,none,yes
2,1,0<=X<200,existing paid,new car,100<=X<500,4<=X<7,male single,none,car,bank,own,skilled,yes,yes
2,2,no checking,critical/other existing credit,radio/tv,no known savings,1<=X<4,male single,none,real estate,none,own,unskilled resident,none,yes
1,2,no checking,critical/other existing credit,radio/tv,100<=X<500,>=7,male single,none,real estate,none,own,skilled,yes,yes
2,1,no checking,critical/other existing credit,new car,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,none,yes
2,1,no checking,existing paid,domestic appliance,500<=X<1000,4<=X<7,male single,none,life insurance,none,own,skilled,yes,yes
1,1,0<=X<200,existing paid,new car,<100,unemployed,male single,none,no known property,bank,for free,high qualif/self emp/mgmt,yes,yes
1,1,no checking,existing paid,new car,500<=X<1000,>=7,male single,none,life insurance,none,own,skilled,none,yes
1,1,no checking,existing paid,furniture/equipment,500<=X<1000,1<=X<4,male single,none,car,none,own,skilled,yes,yes
